"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96"
"1",0,0,0,0,0,0,0,0,0,1,5,6,3,4,1,0,1,2,7,6,8,8,5,8,9,7,5,15,11,10,20,15,16,18,19,19,30,34,31,37,42,32,31,49,37,42,34,40,42,32,39,26,25,28,31,29,15,15,6,6,5,6,5,6,3,2,1,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,3,6,8,9,4,0,2,0,5,3,5,11,10,8,5,7,10,10,12,15,18,17,14,19,26,16,24,32,26,37,29,27,38,36,42,31,34,45,29,33,44,42,29,31,22,20,21,15,16,10,10,8,9,7,5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,1,0,4,7,10,0,0,0,0,6,1,7,12,8,9,7,6,12,8,10,21,11,23,17,17,18,19,25,32,35,31,36,38,31,38,26,36,29,44,35,36,29,40,29,22,30,22,26,16,15,8,12,11,10,4,5,4,4,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,1,8,12,6,2,1,0,3,2,3,9,12,10,6,6,11,8,8,12,12,17,22,11,25,19,28,30,28,33,36,27,30,32,51,41,40,46,41,41,29,47,24,35,21,15,21,13,14,8,13,6,3,6,2,3,3,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,4,9,15,11,6,0,0,0,2,1,8,7,12,17,4,6,9,12,15,14,23,20,17,20,32,32,23,27,39,41,37,33,39,39,45,29,39,35,37,25,28,23,26,28,14,23,8,14,8,7,4,5,8,4,5,2,0,3,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,2,5,9,8,2,0,0,0,1,4,6,16,13,13,10,4,11,12,17,16,20,23,24,33,22,20,25,28,37,38,53,36,33,32,29,36,46,38,31,34,34,23,28,22,15,17,8,17,13,8,10,4,4,4,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,2,4,17,9,4,0,2,1,2,4,9,8,10,15,9,15,14,19,19,15,24,31,16,20,29,29,20,40,26,38,51,49,39,41,36,38,28,32,33,28,27,21,23,22,13,12,11,5,7,5,5,5,2,2,4,2,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,5,1,3,1,0,0,1,4,9,20,15,16,12,8,8,9,12,16,19,22,21,20,31,38,34,30,38,41,48,43,43,45,42,33,41,41,25,30,25,18,24,12,14,22,12,8,2,7,10,3,4,4,2,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,1,4,3,2,3,0,0,0,1,2,2,2,9,6,5,5,14,19,25,31,31,27,23,39,34,34,46,40,39,45,33,34,45,41,45,57,36,31,33,23,22,23,19,12,13,8,5,4,2,6,7,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,1,5,4,3,3,0,1,1,1,3,9,7,8,4,7,0,3,6,7,8,11,21,26,34,36,29,53,41,61,48,53,54,55,45,47,40,48,33,35,29,18,13,14,18,11,9,12,6,6,4,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,6,6,6,1,0,1,1,5,3,7,5,3,6,5,7,4,6,9,14,12,9,14,12,25,25,38,36,46,43,46,71,56,58,52,53,45,43,31,27,37,27,23,18,10,13,7,8,6,4,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,2,5,10,6,7,0,1,0,2,4,9,7,10,8,11,8,10,11,25,14,17,24,19,14,15,28,33,39,29,32,39,39,46,44,44,43,43,41,45,39,38,30,24,18,19,16,9,5,5,4,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,5,14,12,5,1,0,1,7,6,8,19,21,14,14,11,9,17,24,23,25,24,21,28,35,33,36,32,42,32,38,34,40,39,40,36,31,23,20,31,34,20,18,17,19,4,6,9,5,4,6,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,4,7,26,46,39,14,0,2,1,1,7,14,9,22,18,12,14,15,29,23,24,33,24,25,25,37,42,22,31,34,45,34,39,39,25,29,28,25,22,24,10,12,8,12,7,14,4,2,5,3,3,1,2,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,2,3,28,30,20,10,4,0,3,5,14,39,25,36,25,37,16,12,10,28,27,30,23,29,25,20,28,40,42,37,33,37,33,42,25,31,16,25,21,13,10,8,10,9,11,5,10,3,2,2,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,1,4,11,24,18,11,3,0,1,5,11,20,25,32,20,30,21,30,29,26,39,31,44,43,30,29,25,29,29,28,29,32,24,34,29,32,25,19,26,24,21,15,9,10,4,4,4,1,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,1,3,21,20,13,5,1,2,4,2,15,12,19,15,12,15,12,15,27,30,29,39,37,43,54,47,52,45,48,29,33,27,43,25,32,22,22,27,17,9,19,8,9,7,5,4,6,7,1,5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,1,3,9,13,15,8,2,2,0,0,6,17,16,17,13,13,16,16,16,23,28,22,25,32,37,45,34,50,57,37,52,49,38,46,42,24,33,20,22,17,15,11,11,12,7,7,5,5,2,4,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,2,1,10,9,8,2,2,0,2,5,10,14,18,22,14,13,8,12,20,17,28,27,22,27,33,28,35,41,44,48,33,32,45,38,42,38,35,42,26,24,25,19,21,9,10,9,7,7,5,2,3,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,1,2,6,9,14,5,1,1,2,1,3,10,19,11,13,12,2,7,17,23,36,25,36,23,39,27,33,32,42,33,52,47,36,39,39,42,30,31,25,34,21,24,22,16,14,10,10,5,7,5,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
